id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
d2b2f71243dad3801279697103afe1e7,krakow,apartmentBuilding,43.0,2.0,,,2022.0,50.069738,19.8948466,3.5,6.0,0.511,0.418,0.731,0.457,0.115,0.351,0.411,condominium,brick,premium,yes,no,yes,no,no,2990
ce66ccbdeb1eaa437b3a3fc0b685a0af,czestochowa,blockOfFlats,55.0,2.0,2.0,3.0,,50.8041,19.1292,0.93,4.0,0.278,1.486,0.772,0.749,0.822,1.296,0.416,condominium,brick,,no,yes,no,yes,yes,1500
63365b2f2d9c8786ad037ec935ab0b33,lodz,blockOfFlats,47.0,2.0,4.0,4.0,,51.8211,19.4419,4.49,12.0,0.336,0.423,0.165,0.19,0.058,3.388,0.125,condominium,,,no,yes,no,no,yes,1950
05691cd8075358dde86d42f5df32fd84,warszawa,blockOfFlats,36.7,2.0,10.0,10.0,2016.0,52.275537,20.963588,5.58,18.0,0.297,0.501,0.119,0.191,0.091,0.536,0.096,condominium,,,yes,yes,yes,no,no,3150
18cdc56843ac5bd5dfaeb3290bc6c50f,warszawa,apartmentBuilding,49.0,2.0,,15.0,2014.0,52.26008,20.97677,3.64,30.0,0.096,0.24,0.339,0.111,0.049,0.285,0.005,condominium,brick,,no,yes,yes,no,no,3300
3d352e24759d36106538d1e87f616a0f,poznan,blockOfFlats,37.0,2.0,4.0,4.0,2020.0,52.4454,16.8963,4.95,6.0,0.776,0.579,0.424,0.359,0.354,1.752,0.386,condominium,,,yes,yes,yes,yes,yes,2300
97804bd9f35e2ff54370fe306c27b3fb,gdynia,,84.0,4.0,,,,54.51972222,18.53916667,0.15,75.0,0.379,0.937,0.028,0.29,0.059,0.501,0.144,condominium,,,no,no,,no,no,2900
8b53241b2d4615c3cbc30eab22c5b87f,warszawa,blockOfFlats,44.0,2.0,8.0,15.0,1978.0,52.27370145,20.93007564,6.84,19.0,0.153,0.519,0.522,0.064,0.313,0.759,0.064,condominium,concreteSlab,premium,no,yes,yes,no,no,3500
07e16f55f934c07d889aa6128650e75b,wroclaw,blockOfFlats,62.0,3.0,2.0,7.0,2006.0,51.1119683,16.9526601,5.39,15.0,0.21,2.739,0.533,0.453,0.469,0.555,0.192,condominium,,,no,yes,yes,no,no,3400
dc8a54ca1c5bdaaaed85b1314bbb198e,krakow,,44.0,2.0,5.0,5.0,2022.0,50.0705105,19.95135479,1.93,21.0,0.345,0.515,0.488,0.664,0.179,0.994,0.307,condominium,,premium,no,yes,yes,no,no,4500
9038ebf68d0fa46bd53d3f9e1c3fd73b,warszawa,,45.0,2.0,2.0,5.0,,52.21975,21.02222,1.84,50.0,0.045,0.304,0.266,0.073,0.095,0.753,0.253,condominium,,,no,yes,no,no,no,6000
ad8bf2c7aed7955f27d15185aaae26cd,warszawa,blockOfFlats,38.0,2.0,9.0,10.0,1970.0,52.2248,21.0386,2.51,23.0,0.096,1.384,0.716,0.317,0.237,1.048,0.136,condominium,concreteSlab,premium,no,no,yes,no,no,2496
d1afe649fa37ef75e7252400789d4f9b,katowice,,68.0,3.0,,4.0,2021.0,50.23966,19.01192,2.26,4.0,1.225,0.147,1.281,0.336,0.603,1.256,0.446,condominium,,,no,no,no,no,no,3500
c58745bf8504ea17a16f4f9f7f197cee,warszawa,,74.0,3.0,1.0,7.0,,52.24342,20.96258,3.08,20.0,0.193,0.567,0.545,0.069,0.041,1.335,0.04,condominium,,,no,no,yes,no,no,4900
59bca113ba15b25100561478e8c47909,warszawa,apartmentBuilding,72.0,3.0,7.0,12.0,2018.0,52.23225,20.9785,1.71,35.0,0.247,0.407,0.812,0.148,0.1,1.524,0.096,condominium,brick,,yes,yes,yes,no,no,6900
d92e5a84370b0f4f65ac3fea60dd09e1,krakow,blockOfFlats,50.0,2.0,1.0,2.0,2008.0,50.1012457,19.9099308,5.5,2.0,0.69,1.624,1.625,0.575,1.217,2.428,0.374,condominium,,premium,yes,yes,no,no,no,2000
49fb9b6d8ae69694dd69eac51a5314eb,warszawa,blockOfFlats,47.0,3.0,8.0,10.0,1975.0,52.2010249,21.0273894,3.78,27.0,0.384,0.158,0.151,0.296,0.109,1.119,0.231,condominium,concreteSlab,,no,yes,yes,no,yes,3800
c8d5e784b77cfdd55e75ba9c693765a2,poznan,blockOfFlats,44.9,2.0,2.0,6.0,2012.0,52.46247,16.92753,6.09,1.0,0.746,1.01,0.622,0.817,0.408,4.568,0.504,condominium,,,no,yes,yes,yes,no,2700
71c0d3f5a5b753725fe798411e19c634,warszawa,blockOfFlats,35.0,2.0,5.0,6.0,2023.0,52.2,20.9444,5.36,2.0,0.874,0.869,0.781,0.558,0.485,2.243,0.459,condominium,,premium,yes,yes,yes,yes,no,3300
b057b53879eb9b295e0cafc6a409f72d,warszawa,,51.5,2.0,5.0,7.0,,52.22896,21.07988,5.21,25.0,0.06,0.824,0.079,0.075,0.093,0.802,0.137,condominium,,,no,yes,no,no,no,4000
8b78fcb490acfa43e4ac6af5d2f3ba01,warszawa,apartmentBuilding,120.0,4.0,10.0,11.0,2006.0,52.1902,20.9885,4.73,17.0,0.53,0.607,0.249,0.164,0.135,1.037,0.232,condominium,brick,,yes,yes,yes,no,no,7100
843cee58da1f46690d41980927fd1eb2,krakow,blockOfFlats,35.0,2.0,,5.0,2023.0,50.1021,19.9578,5.38,5.0,0.417,1.076,0.524,0.109,0.29,2.865,0.496,condominium,,,yes,no,yes,no,no,2900
9d6ffdbd29776f22a41a970b9a81a674,gdansk,blockOfFlats,42.0,2.0,1.0,4.0,2022.0,54.33019,18.56041,6.46,9.0,0.628,2.065,0.356,0.174,0.337,2.623,0.226,condominium,,,no,yes,yes,no,yes,2900
973dfc3dfe1124e9e164b4b579c2576d,krakow,blockOfFlats,56.0,2.0,3.0,4.0,2003.0,50.1003,19.9675,5.42,6.0,0.303,1.164,0.559,0.282,0.381,2.648,0.136,condominium,brick,,yes,yes,no,no,no,2500
1052278108777c37f5a825babf54ce5c,poznan,apartmentBuilding,50.0,2.0,2.0,4.0,2022.0,52.3921,16.9671,2.77,4.0,0.371,0.764,0.512,0.218,0.546,2.292,0.543,condominium,brick,,yes,yes,yes,no,no,1899
efcc19ec0c930cf451d12c0ba9ed1f36,katowice,blockOfFlats,43.0,2.0,1.0,10.0,1980.0,50.24828855,19.03095362,1.47,14.0,0.358,0.364,0.113,0.2,0.062,0.963,0.081,condominium,,,yes,yes,yes,no,yes,1800
bc83b0949f95dda56b6d479ea842aeb2,krakow,apartmentBuilding,87.0,4.0,2.0,4.0,2021.0,50.05041546,19.92602348,1.04,21.0,0.117,0.595,0.118,0.147,0.055,0.915,0.105,condominium,brick,premium,yes,yes,yes,no,no,6500
3fe25a157120ba64779e649d2cf7168f,wroclaw,blockOfFlats,50.0,2.0,8.0,8.0,2021.0,51.1311252,16.9897816,3.6,4.0,0.365,0.405,0.514,0.08,0.17,0.603,0.563,condominium,brick,premium,yes,yes,yes,no,no,3600
e691cea2f2c023f7f4e3176509e97e68,gdansk,apartmentBuilding,52.0,2.0,3.0,3.0,,54.4268444,18.5963633,9.4,3.0,0.814,0.988,1.188,0.664,0.083,1.95,0.999,condominium,brick,premium,yes,yes,yes,no,no,5000
94ef28dbf7f42f0ceb6483bc8b64b7c6,wroclaw,apartmentBuilding,54.0,2.0,3.0,6.0,,51.101,16.9989,2.41,4.0,0.548,1.417,0.665,0.162,0.69,1.151,0.516,condominium,brick,,yes,yes,yes,no,no,2700
f1a1ddc3d78da2c5986a74528b477305,warszawa,apartmentBuilding,100.0,4.0,8.0,9.0,2019.0,52.26534,20.94426,5.5,7.0,0.607,1.228,0.603,0.106,0.124,1.057,0.338,condominium,brick,,no,no,no,yes,no,8500
e98c2275ff26ea9f84b4f0cf5cc9e636,lodz,blockOfFlats,38.0,2.0,3.0,4.0,1965.0,51.7864,19.4446,0.89,17.0,0.238,0.702,0.303,0.08,0.154,0.147,0.122,condominium,brick,,no,yes,no,no,no,1200
a90daf771eb360100ee3dfce2d95a78b,rzeszow,,38.0,2.0,7.0,7.0,2022.0,50.016849,22.0087855,2.31,11.0,0.381,1.491,0.552,0.186,0.148,0.939,0.133,condominium,,premium,yes,yes,yes,no,no,2690
ace54129de4ed5fe5f6b4006148e36a5,warszawa,tenement,64.0,3.0,2.0,3.0,1926.0,52.23214,21.0267,1.58,43.0,0.312,0.281,0.295,0.438,0.22,0.222,0.492,condominium,brick,premium,no,yes,no,no,yes,5000
b7435771844485296667a5368abe423d,warszawa,tenement,43.0,2.0,1.0,3.0,1950.0,52.24116,20.99996,1.08,53.0,0.12,0.263,0.335,0.132,0.236,0.38,0.294,condominium,brick,,no,no,no,no,no,3000
0abce1d36eba17de7838d23c44e34266,warszawa,apartmentBuilding,36.0,2.0,4.0,6.0,2019.0,52.23557629,20.98698199,1.21,78.0,0.144,0.445,0.54,0.281,0.029,0.865,0.11,condominium,brick,,no,no,yes,no,no,5500
2d97055498a704a4deeb1caea0afcf33,czestochowa,blockOfFlats,86.0,3.0,3.0,5.0,,50.823,19.0906,2.96,3.0,0.788,2.074,0.488,0.384,0.548,1.712,0.602,condominium,,,no,yes,yes,no,no,3500
dee7af1d980ff5c9a0bd4a0b8c48ef08,wroclaw,,42.0,2.0,1.0,8.0,2021.0,51.103,17.0511,1.72,26.0,0.298,0.586,0.756,0.137,0.213,0.28,0.184,condominium,brick,,yes,no,yes,yes,no,3000
e2bdc1d68bf237194144388c579efb36,warszawa,apartmentBuilding,93.0,3.0,8.0,15.0,2000.0,52.18193,21.0264,5.75,20.0,0.246,0.071,0.408,0.47,0.197,1.944,0.076,condominium,brick,,yes,yes,yes,no,no,5500
